Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
AprizeSat 2;USA;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Technology Development;;LEO;Sun-Synchronous;0.0;694.0;850.0;0.010921310557266872;98.2;100.3;12.0;12;;;Aprize Satellite ;Argentina;Baikonur Cosmodrome;Dnepr;2004-025A;28366
AprizeSat 3;USA;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;559.0;662.0;0.007377695007520951;98.18;97.0;12.0;12;;;SpaceQuest;USA;Baikonur Cosmodrome;Dnepr;2009-041F;35686
AprizeSat 4;USA;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;604.0;674.0;0.0049935796832643745;98.1;97.5;12.0;12;;;SpaceQuest;USA;Baikonur Cosmodrome;Dnepr;2009-041D;35684
AprizeSat 5;USA;Canada;Aprize Satellite, Argentina;Commercial;Communications;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;610.0;694.0;0.005981201936770151;98.2;97.8;12.0;12;;;SpaceQuest;USA;Dombarovsky Air Base;Dnepr;2011-044E;37792
AprizeSat 7;USA;Canada;Aprize Satellite, Argentina;Commercial;Communications;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;594.0;653.0;0.004218202616715521;97.8;97.17;12.0;12;;;SpaceQuest;USA;Dombarovsky Air Base;Dnepr;2013-066A;39416
AprizeSat 8;USA;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;594.0;669.0;0.005355995143897736;97.8;97.99;12.0;12;;;SpaceQuest;USA;Dombarovsky Air Base;Dnepr;2013-066K;39425
AprizeSat 9;USA;USA;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;613.0;715.0;0.0072504975831674725;97.9;98.0;12.0;12;;;SpaceQuest;USA;Dombarovsky Air Base;Dnepr;2014-033J;40018
Apstar 6C;China;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;;134.0;35783.0;35790.0;8.302397020625527e-05;0.05;1436.1;;;;15.0;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B;2018-041A;43450
Apstar 6D;China;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;;134.0;35785.0;35885.0;0.0011846937566639024;0.01;1438.5;5550.0;;;15.0;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B;2020-045A;45863
Apstar 6E;NR (9/23);China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;;134.0;35700.0;35700.0;0.0;0.0;1436.0;4300.0;2090;;15.0;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B;2023-005A;55239
Apstar 7;China;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;;76.5;35864.0;35874.0;0.00011837401453632898;0.03;1440.31;5054.0;;;15.0;Thales Alenia Space;France/Italy;Xichang Satellite Launch Center;Long March 3B;2012-013A;38107
Apstar 9;China;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;;142.0;35782.0;35788.0;7.116593523899893e-05;0.12;1436.01;5200.0;;10500;15.0;China Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B;2015-059A;40982
Arabsat 5C;NR;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;;19.99;35766.0;35805.0;0.00046257309247903596;0.06;1436.06;4630.0;;;15.0;Astrium/Thales Alenia Space;France;Guiana Space Center;Ariane 5 ECA;2011-049B;37810
Arabsat 6A;NR;Multinational;Arab Satellite Communications Org. (ASCO);Commercial;Communications;;GEO;;30.5;35774.0;35811.0;0.000438778535428402;0.01;1436.0;6465.0;;20000;15.0;Lockheed Martin;USA;Cape Canaveral;Falcon Heavy;2019-021A;44186
ARCE 1A;USA;USA;University of South Florida, Institute of Applied Engineering (IAE).;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;526.0;535.0;0.0006521266574885878;97.5;95.2;1.0;;;;South Florida University, Institute of Applied Engineering (IAE);USA;Cape Canaveral;Falcon 9/Sherpa FX;2021-006BZ;47484
ARCE 1B;USA;USA;University of South Florida, Institute of Applied Engineering (IAE).;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;522.0;536.0;0.0010146398028699811;97.5;95.2;1.0;;;;South Florida University, Institute of Applied Engineering (IAE);USA;Cape Canaveral;Falcon 9/Sherpa FX;2021-006EG;47615
ARCE 1C;USA;USA;University of South Florida, Institute of Applied Engineering (IAE).;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;522.0;536.0;0.0010146398028699811;97.5;95.2;1.0;;;;South Florida University, Institute of Applied Engineering (IAE);USA;Cape Canaveral;Falcon 9/Sherpa FX;2021-006EH;47616
ARCSAT;NR (4/22);Norway;Norwegian Defence Research Establishment;Military;Technology Demonstration;;LEO;Sun-Synchronous;0.0;499.0;510.0;0.0008000581860498945;97.4;95.0;10.0;;;;Norwegian Defence Research Establishment;Norway;Cape Canaveral;Falcon 9;2022-033E;52161
ARICA;NR (1/22);Japan;Aoyama Gakuin University in Tokyo;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;547.0;572.0;0.0018038819539649325;97.6;95.0;1.0;;;;Aoyama Gakuin University in Tokyo;Japan;Uchinoura Space Center;H2A;2021-102J;49403
Arktika-M1;Russia;Russia;Naval Physical and Oceanographic Laboratory;Government;Earth Observation;Meteorology;Elliptical;;0.0;1025.0;39754.0;0.7236495450213942;63.3;717.8;2200.0;780;2000;7.0;NPO Lavochkin;Russia;Baikonur Cosmodrome;Soyuz-2.1b;2021-016A;47719
Arkyd-6A;USA;USA;Planetary Resources;Commercial;Technology Development;;LEO;Sun-Synchronous;0.0;493.0;505.0;0.0008734895909157083;97.5;94.5;10.0;;;;Planetary Resources;USA;Satish Dhawan Space Centre;PSLV;2018-004V;43130
ArSat 1;Argentina;Argentina;ArSat;Commercial;Communications;;GEO;;-71.8;35778.0;35795.0;0.00020162964192947707;0.01;1436.07;3000.0;;;15.0;INVAP S.E.;Argentina;Guiana Space Center;Ariane 5 ECA;2014-062B;40272
ArSat 2;Argentina;Argentina;ArSat;Commercial;Communications;;GEO;;-81.0;35786.0;35801.0;0.00017787897114803088;0.01;1436.06;2977.0;;4600;15.0;INVAP S.E.;Argentina;Guiana Space Center;Ariane 5 ECA;2015-054B;40941
Arthur;Belgium;Belgium;Aerospacelab;Commercial;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;512.0;535.0;0.0016682381954014652;97.5;95.1;20.0;;;;Astrospacelab;Belgium;Cape Canaveral;Falcon 9;2021-059CC;48953
ASELSAT;NR;Turkey;Istanbul Technical  University;Civil;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;522.0;536.0;0.0010146398028699811;97.5;95.2;5.0;;;;Istanbul Technical University;Turkey;Cape Canaveral;Falcon 9;2021-006AE;47441
AsiaSat-5;China;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;;100.5;35778.0;35795.0;0.00020162964192947707;0.0;1436.11;3760.0;;;15.0;Space Systems/Loral;USA;Baikonur Cosmodrome;Breeze M;2009-042A;35696
AsiaSat-6;China;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;;120.0;35783.0;35793.0;0.00011860145168176859;0.07;1436.17;3700.0;;;15.0;Space Systems/Loral;USA;Cape Canaveral;Falcon 9;2014-052A;40141
AsiaSat-7;China;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;;105.5;35782.0;35793.0;0.0001304631441617743;0.02;1436.17;3813.0;;;15.0;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M;2011-069A;37933
AsiaSat-8;China;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;;105.5;35781.0;35793.0;0.00014232511801124368;0.07;1436.1;4500.0;;8500;15.0;Space Systems/Loral;USA;Cape Canaveral;Falcon 9;2014-046A;40107
AsiaSat-9;China;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;;122.0;35783.0;35790.0;8.302397020625527e-05;0.02;1436.1;6140.0;;;15.0;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton;2017-057A;42942
AsiaStar;USA;USA;1Worldspace;Commercial;Communications;;GEO;;104.97;35773.0;35801.0;0.00033209194202623525;0.02;1436.15;2775.0;1530;5600;15.0;Alcatel Space Industries;France;Guiana Space Center;Ariane 5G;2000-016A;26107
ASNARO-1;Japan;Japan;Japan Space Systems;Government;Earth Observation;Optical Imaging;LEO;Sun-Synchronous;0.0;506.0;507.0;7.271140841998109e-05;97.48;94.75;500.0;;;3.0;NEC Corporation;Japan;Dombarovsky Air Base;Dnepr;2014-070A;40298
ASNARO-2;Japan;Japan;Japan Space Systems;Government;Earth Observation;Radar Imaging;LEO;Sun-Synchronous;0.0;493.0;505.0;0.0008734895909157083;97.3;94.5;570.0;;;3.0;NEC Corporation;Japan;Uchinoura Space Center;Epsilon;2018-007A;43152
ASTERISC;NR (1/22);Japan;Chiba Institute of Technology;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;556.0;573.0;0.0012257552815631986;97.6;94.5;4.0;;;;Chiba Institute of Technology;Japan;Uchinoura Space Center;H2A;2021-102C;49397
Astra 1G;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;19.24;35780.0;35791.0;0.00013046933377613835;0.04;1436.08;3379.0;3010;6600;15.0;Hughes Space and Communications Co.;USA;Baikonur Cosmodrome;Proton K;1997-076A;25071
Astra 1KR;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;19.16;35766.0;35807.0;0.0004862832540652094;0.08;1436.1;4332.0;;12000;15.0;Lockheed Martin Commercial Space Systems;USA;Cape Canaveral;Atlas 5;2006-012A;29055
Astra 1L;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;19.3;35772.0;35798.0;0.00030838571936899536;0.05;1436.03;4500.0;;13000;15.0;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 5 ECA;2007-016A;31306
Astra 1M;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;19.2;35804.0;35852.0;0.0005687473339968719;0.14;1438.2;5345.0;;9900;15.0;EADS Astrium;France;Baikonur Cosmodrome;Proton M;2008-057A;33436
Astra 1N;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;28.2;35715.0;35780.0;0.000771650739003977;0.12;1434.1;5350.0;;;15.0;EADS Astrium;France;Guiana Space Center;Ariane 5 ECA;2011-041A;37775
Astra 2A;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;28.16;35776.0;35797.0;0.0002490719106187658;0.08;1436.12;3635.0;2500;7000;15.0;Hughes Space and Communications Co.;USA;Baikonur Cosmodrome;Proton K;1998-050A;25462
Astra 2C;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;28.21;35768.0;35804.0;0.0004269854824935952;0.07;1436.12;3643.0;2000;7000;15.0;Boeing Satellite Systems;USA;Baikonur Cosmodrome;Proton K;2001-025A;26853
Astra 2D;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;28.14;35770.0;35802.0;0.000379542651105418;0.07;1436.1;1420.0;700;1500;15.0;Hughes Space and Communications Co.;USA;Guiana Space Center;Ariane 5G;2000-081A;26638
Astra 2E;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;28.2;35781.0;35793.0;0.00014232511801124368;0.11;1436.12;6052.0;;13000;15.0;EADS Astrium;France;Baikonur Cosmodrome;Proton M;2013-056A;39285
Astra 2F;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;28.2;35777.0;35795.0;0.0002134927412467976;0.06;1436.07;6000.0;2660;;15.0;EADS Astrium;France/UK/Germany;Guiana Space Center;Ariane 5 ECA;2012-051A;38778
Astra 2G;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;28.2;35785.0;35789.0;4.74417060037479e-05;0.09;1436.11;6000.0;;13000;15.0;Airbus Defense and Space;Germany/France;Baikonur Cosmodrome;Proton M;2014-089A;40364
Astra 3A;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;23.48;35770.0;35804.0;0.0004032545010318571;0.06;1436.07;1500.0;750;1500;10.0;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44L;2002-015B;27400
Astra 3B;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;23.5;35768.0;35806.0;0.000450696207035605;0.08;1436.11;5471.0;;10000;15.0;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5 ECA;2010-021A;36581
Astra 5B;Luxembourg;Luxembourg;SES S.A.;Commercial;Communications;;GEO;;31.55;35787.0;35793.0;7.115749525616698e-05;0.05;1436.26;5724.0;;;15.0;EADS Astrium;France;Guiana Space Center;Ariane 5 ECA;2014-011B;39617
Astranis Demosat-2;USA;USA;Astranis;Commercial;Technology Development;;LEO;Sun-Synchronous;0.0;494.0;505.0;0.0008006405124099279;97.5;94.5;;;;;Astranis;USA;Satish Dhawan Space Centre;PSLV;2018-004S;43127
Astrocast-0101 ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;521.0;534.0;0.0009423704240666908;97.5;94.6;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9/Sherpa FX;2021-006T;47430
Astrocast-0102 ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;523.0;535.0;0.000869691259602841;97.5;94.6;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9/Sherpa FX;2021-006CD;47488
Astrocast-0103 ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;522.0;536.0;0.0010146398028699811;97.5;94.6;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9/Sherpa FX;2021-006CC;47487
Astrocast-0104 ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;524.0;537.0;0.0009419607274835156;97.5;94.5;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9/Sherpa FX;2021-006DK;47519
Astrocast-0105 ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;526.0;535.0;0.0006521266574885878;97.5;94.5;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9/Sherpa FX;2021-006DH;47517
Astrocast-0201 ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;512.0;535.0;0.0016682381954014652;97.5;95.1;4.0;;;;Astrocast;Swizerland;Cape Canaveral;Falcon 9;2021-059CD;48954
Astrocast-0202   ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;511.0;536.0;0.0018133023863059403;97.5;95.0;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9;2021-059CL;48961
Astrocast-0203;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;511.0;536.0;0.0018133023863059403;97.5;95.0;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9;2021-059CE;48955
Astrocast-0204 ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;513.0;536.0;0.0016679962288780913;97.5;95.1;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9;2021-059CB;48952
Astrocast-0205 ;NR (1/22);Switzerland;Astrocast;Commercial;Communications;;LEO;Sun-Synchronous;0.0;513.0;535.0;0.0015955903684363214;97.5;95.0;4.0;;;;Astrocast;Switzerland;Cape Canaveral;Falcon 9;2021-059CK;48960
Astrosat;India;India;Telemetry Tracking and Command Network (ISTRAC) Centre;Government;Space Science;;LEO;Equatorial;0.0;632.0;649.0;0.0012124670137650666;5.99;97.54;230.0;;;5.0;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Centre;PSLV C-30;2015-052A;40930
AT&T T16;USA;USA;DirecTV, Inc.;Commercial;Communications;;GEO;;-101.0;35653.0;36757.0;0.012965355255431592;0.02;1436.07;6350.0;;;15.0;Airbus Defense and Space;France;Guiana Space Center;Ariane 5;2019-034A;44333
Athena;USA;USA;PointView Tech;Commercial;Communications;;LEO;Sun-Synchronous;0.0;516.0;524.0;0.0005805515239477503;97.4;94.5;138.0;;;;Maxar Technologies;USA;Guiana Space Center;Vega;2020-061D;46275
Athena-Fidus;France;France/Italy;Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI);Government/Military;Communications;;GEO;;25.0;35784.0;35788.0;4.744283138817725e-05;0.05;1436.06;3080.0;;;15.0;Thales Alenia Space;France;Guiana Space Center;Ariane 5 ECA;2014-006B;39509
Athenoxat-1;NR;Singapore;Microspace Rapid Pvt Ltd.;Commercial;Technology Development;;LEO;Equatorial;0.0;532.0;550.0;0.0013022717407032266;14.98;95.46;6.0;;;;Microspace Rapid Pvt Ltd.;Singapore;Satish Dhawan Space Centre;PSLV-C29;2015-077C;41168
Azerspace 1/Africasat-1a;Azerbaijan;Azerbaijan;Azercosmos;Government;Communications;;GEO;;46.0;35778.0;35794.0;0.000189771325552709;0.04;1436.08;3250.0;1438;;15.0;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA;2013-006B;39079
Azerspace 2/Intelsat-38;Azerbaijan;Azerbaijan;Azercosmos;Government;Communications;;GEO;;45.0;35750.0;35750.0;0.0;0.02;1436.1;3500.0;;;15.0;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA;2018-074A;43632
Badr 4;NR;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;;26.02;35780.0;35791.0;0.00013046933377613835;0.07;1436.06;3304.0;1487;;15.0;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton M;2006-051A;29526
Badr 5;NR;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;;26.0;35834.0;35883.0;0.0005801768947511751;0.06;1439.76;5420.0;;;15.0;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton;2010-025A;36592
Badr 5A;NR;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;;30.5;35605.0;35623.0;0.0002143673780487805;0.03;1427.27;4940.0;;;15.0;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5 ECA;2010-032B;36745
Badr 6;NR;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;;26.08;35768.0;35805.0;0.0004388409853759207;0.05;1436.1;3400.0;;6000;15.0;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5 ECA;2008-034B;33154
Badr 7;NR;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;;26.0;35768.0;35817.0;0.0005810850874592351;0.1;1436.0;5500.0;;;15.0;Airbus Defense and Space;France/UK/Germany/Spain;Guiana Space Center;Ariane 5;2015-065B;41029
Bangabandhu 1;NR;Bangladesh;Bangladesh Telecommunication Regulatory Commission (BTRC);Government;Communications;;GEO;;119.1;35778.0;35793.0;0.00017791272787655228;0.0;1436.06;3500.0;;;15.0;Thales Alenia Space;France/Belgium/Spain/Italy;Cape Canaveral;Falcon 9;2018-044A;43463
Baoyun;NR (1/22);China;Tianyi Research Institute;Civil;Unknown;;LEO;Sun-Synchronous;0.0;472.0;502.0;0.002187545573866122;97.4;95.0;20.0;;;;Unknown;China;Jiuquan Satellite Launch Center;Ceres 1;2021-117C;49814
Cosmos 2503;Russia;Russia;Ministry of Defense;Military;Earth Observation;Electronic Intelligence;LEO;Sun-Synchronous;0.0;570.0;586.0;0.0011514104778353484;97.7;96.1;4000.0;3500;;5.0;Progress Rocket and Space Center;Russia;Plesetsk Cosmodrome;Soyuz-2.1b;2015-009A;40420
Cosmos 2515;Russia;Russia;Ministry of Defense;Military;Earth Observation;Electronic Intelligence;LEO;Sun-Synchronous;0.0;549.0;594.0;0.003241374342721314;97.62;96.1;4000.0;3500;;5.0;Progress Rocket and Space Center;Russia;Plesetsk Cosmodrome;Soyuz-2.1a;2016-020A;41394
Cosmos 2556;Russia;Russia;Ministry of Defense;Military;Earth Observation;Electronic Intelligence;LEO;Sun-Synchronous;0.0;337.0;556.0;0.016063962444069536;97.7;94.6;3700.0;3500;;5.0;Progress Rocket and Space Center;Russia;Plesetsk Cosmodrome;Soyuz-2.1a;2022-054A;52713
Cosmos 2567;Russia;Russia;Ministry of Defense;Military;Earth Observation;Electronic Intelligence;LEO;Sun-Synchronous;0.0;501.0;514.0;0.000945110868774991;97.6;94.6;3700.0;3500;;5.0;Progress Rocket and Space Center;Russia;Plesetsk Cosmodrome;Soyuz-2.1a;2023-040A;55978
BB-1;USA;USA;Space Development Agency;Military;Technology Demonstration;;LEO;Polar;0.0;938.0;951.0;0.000888645840453893;81.0;104.0;300.0;300;;;Leidos;USA;Vandenberg AFB;Falcon 9;2023-050J;56171
BB-2;USA;USA;Space Development Agency;Military;Technology Demonstration;;LEO;Polar;0.0;939.0;950.0;0.0007519310957686786;81.0;104.0;300.0;300;;;Leidos;USA;Vandenberg AFB;Falcon 9;2023-050K;56170
BDSAT;NR (4/22);Czech Republic;Central European Institute of Technology;Government;Technology Demonstration;;LEO;Sun-Synchronous;0.0;497.0;509.0;0.0008729812309035355;97.4;97.0;1.0;;;;Central European Institute of Technology;Czech Republic;Cape Canaveral;Falcon 9;2022-033U;52175
BDSAT-2;NR (9/23);Czech Republic;Central European Institute of Technology;Civil;Communications;Amateur Radio;LEO;Sun-Synchronous;0.0;515.0;537.0;0.0015951276102088166;97.5;95.1;2.0;2;;;Central European Institute of Technology/;Czech Republic;Cape Canaveral;Falcon 9;2023-001CT;55098
Beesat-5;Germany;Germany;Technical University Berlin;Civil;Technology Demonstration;;LEO;Sun-Synchronous;0.0;535.0;558.0;0.001662690667244994;97.6;95.5;1.0;;;;Technical University Berlin;Germany;Baikonur Cosmodrome;Soyuz-2.1a;2021-022AM;48083
Beesat-6;Germany;Germany;Technical University Berlin;Civil;Technology Demonstration;;LEO;Sun-Synchronous;0.0;535.0;562.0;0.0019512900195129002;97.6;95.5;1.0;;;;Technical University Berlin;Germany;Baikonur Cosmodrome;Soyuz-2.1a;2021-022AB;47957
Beesat-7;Germany;Germany;Technical University Berlin;Civil;Technology Demonstration;;LEO;Sun-Synchronous;0.0;535.0;562.0;0.0019512900195129002;97.6;95.5;1.0;;;;Technical University Berlin;Germany;Baikonur Cosmodrome;Soyuz-2.1a;2021-022AN;48084
Beesat-8;Germany;Germany;Technical University Berlin;Civil;Technology Demonstration;;LEO;Sun-Synchronous;0.0;535.0;556.0;0.0015183283927409444;97.6;95.5;1.0;;;;Technical University Berlin;Germany;Baikonur Cosmodrome;Soyuz-2.1a;2021-022AP;48085
Beesat-9;Germany;Germany;Technical University Berlin;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;514.0;546.0;0.002318840579710145;97.5;95.2;1.0;;;;Technical University Berlin;Germany;Vostochny Cosmodrome;Soyuz-2.1b;2019-038AC;44412
Beidou 2-12;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;MEO;Non-Polar Inclined;0.0;21460.0;21595.0;0.002419571646204857;55.16;773.19;2200.0;;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B;2012-018A;38250
Beidou 2-13;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;MEO;Non-Polar Inclined;0.0;21452.0;21603.0;0.00270633569316247;55.1;773.21;2200.0;;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B;2012-018B;38251
Beidou 2-15;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;MEO;Non-Polar Inclined;0.0;21477.0;21574.0;0.0017386316789446328;55.0;773.1;3800.0;;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B;2012-050B;38775
Beidou 2-16;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;GEO;;80.0;35775.0;35799.0;0.00028465023602248737;1.84;1436.11;3800.0;2300;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C;2012-059A;38953
Beidou 2-17;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;GEO;;100.3;35676.0;35890.0;0.0025383721206082605;54.97;1435.92;4200.0;1900;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3A;2016-021A;41434
Beidou 2-18;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;GEO;;144.0;35776.0;35794.0;0.0002134978057169968;1.84;1436.1;3800.0;;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C;2016-037A;41586
Beidou 3I-1S;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;GEO;;107.48;35796.0;36781.0;0.011545178569335537;54.9;1461.81;4200.0;;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3C;2015-019A;40549
Beidou 3I-2S;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;GEO;;89.5;35606.0;35953.0;0.004116300311984721;55.0;1435.73;4200.0;;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B;2015-053A;40938
Beidou 3M-1S;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;MEO;Non-Polar Inclined;0.0;21520.0;21549.0;0.0005196294504470605;55.0;773.2;800.0;280;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B;2015-037A;40748
Beidou 3M-2S;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;MEO;Non-Polar Inclined;0.0;21521.0;21550.0;0.0005196108294063894;55.0;773.3;800.0;280;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B;2015-037B;40749
Beidou 3-M1;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;MEO;;0.0;21506.0;21549.0;0.0007706783761985841;55.0;773.2;800.0;280;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B;2017-069A;43001
Beidou 3-23;China;China;Chinese Ministry of National Defense;Military/Government;Navigation/Global Positioning;;MEO;;0.0;21509.0;21561.0;0.0009317326643970615;55.0;773.2;800.0;280;;8.0;Space Technology Research Institute (part of CASC);China;Xichang Satellite Launch Center;Long March 3B;2019-061A;44542
